"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",30397554016
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",23980346971
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",39219662320
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",40092436693
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",-9.55e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",-1.014e+09
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",5.93e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-1.33e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-6.09e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-1.25e+09
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",8.58e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-6.12e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",3.2e+07
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-1.947e+09
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",3.95e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",7.96e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",-5.93e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",-2.905e+09
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-7.22e+08
"FIN","Finland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-1.39e+08
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",380836088
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",1000871072
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",-2651595454
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-6822111706
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-2782732675
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-3385326227
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-4543564955
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-6053376142
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",-6820799075
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-1875658039
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",637406824
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",-5075949709
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",-1845115316
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",-2439819284
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-595147667
"FRA","France",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-2188917734
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",61348206809
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",63414402932
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",69354688965
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",65802701294
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",62425090933
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",76211071045
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",65045348538
