"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,1.205238095,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,1.364,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,1.449545455,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,1.4995,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,1.6045,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,1.492272727,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,1.294736842,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,0.819090909,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.657142857,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.551,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.561363636,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.516363636,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.5635,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.55952381,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.602857143,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,0.6885,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.730952381,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,0.8055,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,1.099473684,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,1.496521739,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,1.516190476,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,1.524,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,1.426666667,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,2.14,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,2.14,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,2.07,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,2.01,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,1.85,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,1.76,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,1.82,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,1.82,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,1.86,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,1.58,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,1.36,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,0.99,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,1.24,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,1.32,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,1.47,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,1.51,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,1.62,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,1.47,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,1.28,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,1.28,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.92,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.86,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.86,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.95,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.98,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.94,,
