"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-6822111706,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,-2782732675,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-3385326227,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-4543564955,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-6053376142,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,-6820799075,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-1875658039,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,637406824,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,-5075949709,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,-1845115316,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-2439819284,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-595147667,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-2188917734,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,61348206809,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,63414402932,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,69354688965,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,65802701294,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,62425090933,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,76211071045,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,65045348538,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,61808489485,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,69265323675,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,55256093534,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,69506457619,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,67865125171,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,66149180220,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,64873046651,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,55754638840,,
"DEU","Germany","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,59605134289,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,-1252807083,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,-1028707882,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,1117332619,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-272817654,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,-514397397,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-611884414,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-392811114,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-1530907076,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,-399739158,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-530226552,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,-611094356,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,-1619939934,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,-508937661,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-1451834448,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-2007542845,,
"GRC","Greece","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-1361685046,,
"HUN","Hungary","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,426501100000,,
"HUN","Hungary","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,155050400000,,
"HUN","Hungary","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,243125500000,,
"HUN","Hungary","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,107178100000,,
"HUN","Hungary","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,578608800000,,
