"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,2.02,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,1.96,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,1.93,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,1.93,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,1.94,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,2.02,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,2.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,1.96,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,1.83,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,1.68,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,1.54,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,1.29,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,1.11,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,0.98,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,0.98,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,0.88,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,0.91,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0.9,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,0.89,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,0.89,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,0.53,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.17,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.09,,
