"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units","2015_100","2015=100",108.085330524098,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units","2015_100","2015=100",107.611272056887,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units","2015_100","2015=100",107.927311035028,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units","2015_100","2015=100",107.769291545957,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units","2015_100","2015=100",107.769291545957,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",108.085330524098,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",108.559388991309,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",107.927311035028,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",107.216223334211,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",107.532262312352,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",108.401369502239,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",108.401369502239,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",108.243350013168,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",108.164340268633,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",108.638398735844,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2015_100","2015=100",108.796418224914,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units","2015_100","2015=100",108.559388991309,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units","2015_100","2015=100",109.19146694759,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units","2015_100","2015=100",109.744535159336,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units","2015_100","2015=100",110.297603371082,,
